CT_Comp, step4 runtime: 0.18578886985778809
CT_Comp, step5 runtime: 0.92228102684021
CT_Comp, step6 runtime: 173.22311396598815

CT_Comp, step1-2 runtime: 143.13287782669067
CT_Comp, step3 runtime: 406.12578201293945
CT_Comp, step4 runtime: 0.24380040168762207
CT_Comp, step5 runtime: 0.9297175407409668
CT_Comp, step6 runtime: 161.63002066612245

CT_Comp, step3 runtime: 135.16830945014954
CT_Comp, step4 runtime: 0.29912352561950684
CT_Comp, step5 runtime: 0.8702113628387451
CT_Comp, step6 runtime: 168.46603031158446

CT_Comp, step3 runtime: 132.70745658874512
CT_Comp, step4 runtime: 0.38135719299316406
CT_Comp, step5 runtime: 0.885061502456665
CT_Comp, step6 runtime: 176.97222976684571

JD_Homophone, step1-2 runtime: 33.5504834651947
JD_Homophone, step3 runtime: 104.57741045951843
JD_Homophone, step4 runtime: 0.06869816780090332
JD_Homophone, step5 runtime: 0.585228681564331
JD_Homophone, step6 runtime: 136.89363527297974

JD_Homophone, step3 runtime: 94.12276911735535
JD_Homophone, step4 runtime: 0.12178611755371094
JD_Homophone, step5 runtime: 0.5818243026733398
JD_Homophone, step6 runtime: 139.59376430511475

JD_Homophone, step3 runtime: 103.93739318847656
JD_Homophone, step4 runtime: 0.13994598388671875
JD_Homophone, step5 runtime: 0.574993371963501
JD_Homophone, step6 runtime: 142.57273135185244

JD_Homophone, step3 runtime: 94.77860355377197
JD_Homophone, step4 runtime: 0.1875443458557129
JD_Homophone, step5 runtime: 0.5870602130889893
JD_Homophone, step6 runtime: 141.13345427513121

JD_Homophone, step3 runtime: 102.16783952713013
JD_Homophone, step4 runtime: 0.2589998245239258
JD_Homophone, step5 runtime: 0.5858578681945801
JD_Homophone, step6 runtime: 141.6463469982147

JD_Morphonym, step1-2 runtime: 35.39870572090149
JD_Morphonym, step3 runtime: 102.95525169372559
JD_Morphonym, step4 runtime: 0.07482433319091797
JD_Morphonym, step5 runtime: 0.6478598117828369
JD_Morphonym, step6 runtime: 137.0786846637726

JD_Morphonym, step3 runtime: 107.92718982696533
JD_Morphonym, step4 runtime: 0.11346006393432617
JD_Morphonym, step5 runtime: 0.5957083702087402
JD_Morphonym, step6 runtime: 139.58190393447876

JD_Morphonym, step3 runtime: 113.00598621368408
JD_Morphonym, step4 runtime: 0.16658949851989746
JD_Morphonym, step5 runtime: 0.5837428569793701
JD_Morphonym, step6 runtime: 136.6617446422577

JD_Morphonym, step3 runtime: 112.72623467445374
JD_Morphonym, step4 runtime: 0.19630765914916992
JD_Morphonym, step5 runtime: 0.5798580646514893
JD_Morphonym, step6 runtime: 137.30775318145754

JD_Morphonym, step3 runtime: 103.37022256851196
JD_Morphonym, step4 runtime: 0.2348320484161377
JD_Morphonym, step5 runtime: 0.5747346878051758
JD_Morphonym, step6 runtime: 146.99167957305906

JD_Hownet, step1-2 runtime: 37.86531925201416
JD_Hownet, step3 runtime: 101.1909692287445
JD_Hownet, step4 runtime: 0.07271075248718262
JD_Hownet, step5 runtime: 0.6345579624176025
JD_Hownet, step6 runtime: 138.8132373332977

JD_Hownet, step3 runtime: 105.50653576850891
JD_Hownet, step4 runtime: 0.11372756958007812
JD_Hownet, step5 runtime: 0.5472631454467773
JD_Hownet, step6 runtime: 132.51550168991088

JD_Hownet, step3 runtime: 105.7705590724945
JD_Hownet, step4 runtime: 0.18020248413085938
JD_Hownet, step5 runtime: 0.5217502117156982
JD_Hownet, step6 runtime: 141.79262852668762

JD_Hownet, step3 runtime: 106.20663166046143
JD_Hownet, step4 runtime: 0.19701123237609863
JD_Hownet, step5 runtime: 0.5460236072540283
JD_Hownet, step6 runtime: 146.81604809761046

JD_Hownet, step3 runtime: 114.23597693443298
JD_Hownet, step4 runtime: 0.23982834815979004
JD_Hownet, step5 runtime: 0.41460251808166504
JD_Hownet, step6 runtime: 150.48564591407774

JD_MLM, step1-2 runtime: 36.09086775779724
JD_MLM, step3 runtime: 110.87194752693176
JD_MLM, step4 runtime: 0.07222890853881836
JD_MLM, step5 runtime: 0.623976469039917
JD_MLM, step6 runtime: 148.59191279411317

JD_MLM, step3 runtime: 110.37613344192505
JD_MLM, step4 runtime: 0.11142921447753906
JD_MLM, step5 runtime: 0.5421483516693115
JD_MLM, step6 runtime: 136.87602467536925

JD_MLM, step3 runtime: 103.18923234939575
JD_MLM, step4 runtime: 0.15253663063049316
JD_MLM, step5 runtime: 0.5589232444763184
JD_MLM, step6 runtime: 147.0306023597717

JD_MLM, step3 runtime: 108.66924786567688
JD_MLM, step4 runtime: 0.20453691482543945
JD_MLM, step5 runtime: 0.5327191352844238
JD_MLM, step6 runtime: 144.94171028137208

JD_MLM, step3 runtime: 103.29110455513
JD_MLM, step4 runtime: 0.24461579322814941
JD_MLM, step5 runtime: 0.5746176242828369
JD_MLM, step6 runtime: 141.0728756904602

JD_Comp, step1-2 runtime: 35.1861789226532
JD_Comp, step3 runtime: 109.39277744293213
JD_Comp, step4 runtime: 0.0707552433013916
JD_Comp, step5 runtime: 0.5949993133544922
JD_Comp, step6 runtime: 139.67383203506472

JD_Comp, step3 runtime: 102.03367781639099
JD_Comp, step4 runtime: 0.1125941276550293
JD_Comp, step5 runtime: 0.5493426322937012
JD_Comp, step6 runtime: 140.0598117828369

JD_Comp, step3 runtime: 104.91612124443054
JD_Comp, step4 runtime: 0.15057134628295898
JD_Comp, step5 runtime: 0.5084266662597656
JD_Comp, step6 runtime: 140.16087698936462

JD_Comp, step3 runtime: 101.92153191566467
JD_Comp, step4 runtime: 0.18927359580993652
JD_Comp, step5 runtime: 0.5139377117156982
JD_Comp, step6 runtime: 147.38508367538452

JD_Comp, step3 runtime: 104.90106725692749
JD_Comp, step4 runtime: 0.23238277435302734
JD_Comp, step5 runtime: 0.42944955825805664
JD_Comp, step6 runtime: 142.3196763038635

CT_Homophone, step1-2 runtime: 217.09321236610413
CT_Homophone, step3 runtime: 560.4726252555847
CT_Homophone, step4 runtime: 0.35933828353881836
CT_Homophone, step5 runtime: 1.003847360610962
CT_Homophone, step1-2 runtime: 217.88863229751587
CT_Homophone, step1-2 runtime: 216.1991832256317
CT_Homophone, step3 runtime: 564.0910019874573
CT_Morphonym, step1-2 runtime: 218.5644781589508
CT_Morphonym, step3 runtime: 558.0403778553009
